// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 6 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\sverma\source\repos\PerformanceBenchmark\PerformanceBenchmark\bin\Release\netcoreapp2.2\b01e104f-d6e0-4494-9223-bfcc66b80240
// command took 3.42s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\sverma\source\repos\PerformanceBenchmark\PerformanceBenchmark\bin\Release\netcoreapp2.2\b01e104f-d6e0-4494-9223-bfcc66b80240
// command took 5.84s and exited with 0
// ***** Done, took 00:00:09 (9.77 sec)   *****
// Found 6 benchmarks:
//   ForEachVsFor.Foreach: Core(Runtime=Core) [N=10]
//   ForEachVsFor.For: Core(Runtime=Core) [N=10]
//   ForEachVsFor.Foreach: Core(Runtime=Core) [N=100]
//   ForEachVsFor.For: Core(Runtime=Core) [N=100]
//   ForEachVsFor.Foreach: Core(Runtime=Core) [N=1000]
//   ForEachVsFor.For: Core(Runtime=Core) [N=1000]

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: ForEachVsFor.Foreach: Core(Runtime=Core) [N=10]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "b01e104f-d6e0-4494-9223-bfcc66b80240.dll" --benchmarkName "PerformanceBenchmark.ForEachVsFor.Foreach(N: 10)" --job "Core" --benchmarkId 0 in C:\Users\sverma\source\repos\PerformanceBenchmark\PerformanceBenchmark\bin\Release\netcoreapp2.2\b01e104f-d6e0-4494-9223-bfcc66b80240\bin\Release\netcoreapp2.2
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.6 (CoreCLR 4.6.27817.03, CoreFX 4.6.27818.02), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: Core(Runtime=Core)

OverheadJitting  1: 1 op, 459486.93 ns, 459.4869 us/op
WorkloadJitting  1: 1 op, 739190.48 ns, 739.1905 us/op

OverheadJitting  2: 16 op, 451828.81 ns, 28.2393 us/op
WorkloadJitting  2: 16 op, 513823.08 ns, 32.1139 us/op

WorkloadPilot    1: 16 op, 4011.39 ns, 250.7121 ns/op
WorkloadPilot    2: 32 op, 4740.74 ns, 148.1481 ns/op
WorkloadPilot    3: 64 op, 8752.13 ns, 136.7521 ns/op
WorkloadPilot    4: 128 op, 10210.82 ns, 79.7720 ns/op
WorkloadPilot    5: 256 op, 11304.84 ns, 44.1595 ns/op
WorkloadPilot    6: 512 op, 50689.43 ns, 99.0028 ns/op
WorkloadPilot    7: 1024 op, 91897.39 ns, 89.7435 ns/op
WorkloadPilot    8: 2048 op, 212968.54 ns, 103.9885 ns/op
WorkloadPilot    9: 4096 op, 360660.77 ns, 88.0519 ns/op
WorkloadPilot   10: 8192 op, 654221.86 ns, 79.8611 ns/op
WorkloadPilot   11: 16384 op, 1212170.28 ns, 73.9850 ns/op
WorkloadPilot   12: 32768 op, 2240545.78 ns, 68.3760 ns/op
WorkloadPilot   13: 65536 op, 4246607.36 ns, 64.7981 ns/op
WorkloadPilot   14: 131072 op, 8095357.40 ns, 61.7627 ns/op
WorkloadPilot   15: 262144 op, 16505062.20 ns, 62.9618 ns/op
WorkloadPilot   16: 524288 op, 28999459.92 ns, 55.3121 ns/op
WorkloadPilot   17: 1048576 op, 42666278.66 ns, 40.6897 ns/op
WorkloadPilot   18: 2097152 op, 85410232.48 ns, 40.7268 ns/op
WorkloadPilot   19: 4194304 op, 182212823.40 ns, 43.4429 ns/op
WorkloadPilot   20: 8388608 op, 340548372.12 ns, 40.5965 ns/op
WorkloadPilot   21: 16777216 op, 971312334.78 ns, 57.8947 ns/op

OverheadWarmup   1: 16777216 op, 50797009.25 ns, 3.0277 ns/op
OverheadWarmup   2: 16777216 op, 37718042.05 ns, 2.2482 ns/op
