// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 5 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\sverma\source\repos\PerformanceBenchmark\PerformanceBenchmark\bin\Release\netcoreapp2.2\509d8840-cb70-4ca9-9371-20a22c0c972b
// command took 3.16s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\sverma\source\repos\PerformanceBenchmark\PerformanceBenchmark\bin\Release\netcoreapp2.2\509d8840-cb70-4ca9-9371-20a22c0c972b
// command took 5.22s and exited with 0
// ***** Done, took 00:00:08 (8.9 sec)   *****
// Found 5 benchmarks:
//   ForEachVsFor.Foreach: Core(Runtime=Core) [N=10]
//   ForEachVsFor.ListInsertion: Core(Runtime=Core) [N=10]
//   ForEachVsFor.DictionaryInsertion: Core(Runtime=Core) [N=10]
//   ForEachVsFor.While: Core(Runtime=Core) [N=10]
//   ForEachVsFor.For: Core(Runtime=Core) [N=10]

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: ForEachVsFor.Foreach: Core(Runtime=Core) [N=10]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "509d8840-cb70-4ca9-9371-20a22c0c972b.dll" --benchmarkName "PerformanceBenchmark.ForEachVsFor.Foreach(N: 10)" --job "Core" --benchmarkId 0 in C:\Users\sverma\source\repos\PerformanceBenchmark\PerformanceBenchmark\bin\Release\netcoreapp2.2\509d8840-cb70-4ca9-9371-20a22c0c972b\bin\Release\netcoreapp2.2
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.6 (CoreCLR 4.6.27817.03, CoreFX 4.6.27818.02), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: Core(Runtime=Core)

OverheadJitting  1: 1 op, 435418.57 ns, 435.4186 us/op
WorkloadJitting  1: 1 op, 1098757.23 ns, 1.0988 ms/op

OverheadJitting  2: 16 op, 344250.52 ns, 21.5157 us/op
WorkloadJitting  2: 16 op, 780398.43 ns, 48.7749 us/op

WorkloadPilot    1: 16 op, 4376.07 ns, 273.5041 ns/op
WorkloadPilot    2: 32 op, 5105.41 ns, 159.5441 ns/op
WorkloadPilot    3: 64 op, 5105.41 ns, 79.7720 ns/op
WorkloadPilot    4: 128 op, 18233.61 ns, 142.4501 ns/op
WorkloadPilot    5: 256 op, 46678.04 ns, 182.3361 ns/op
WorkloadPilot    6: 512 op, 57253.53 ns, 111.8233 ns/op
WorkloadPilot    7: 1024 op, 147692.23 ns, 144.2307 ns/op
WorkloadPilot    8: 2048 op, 224638.05 ns, 109.6865 ns/op
WorkloadPilot    9: 4096 op, 212968.54 ns, 51.9943 ns/op
WorkloadPilot   10: 8192 op, 1052079.20 ns, 128.4276 ns/op
WorkloadPilot   11: 16384 op, 1133765.76 ns, 69.1996 ns/op
WorkloadPilot   12: 32768 op, 1855451.98 ns, 56.6239 ns/op
WorkloadPilot   13: 65536 op, 3596032.22 ns, 54.8711 ns/op
WorkloadPilot   14: 131072 op, 6597648.81 ns, 50.3361 ns/op
WorkloadPilot   15: 262144 op, 14043160.41 ns, 53.5704 ns/op
WorkloadPilot   16: 524288 op, 31708609.44 ns, 60.4794 ns/op
WorkloadPilot   17: 1048576 op, 50190924.11 ns, 47.8658 ns/op
WorkloadPilot   18: 2097152 op, 87691986.22 ns, 41.8148 ns/op
WorkloadPilot   19: 4194304 op, 193440714.70 ns, 46.1199 ns/op
WorkloadPilot   20: 8388608 op, 736044087.41 ns, 87.7433 ns/op

OverheadWarmup   1: 8388608 op, 62831920.05 ns, 7.4901 ns/op
OverheadWarmup   2: 8388608 op, 72221134.28 ns, 8.6094 ns/op
