// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 10 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\sverma\source\repos\PerformanceBenchmark\PerformanceBenchmark\bin\Release\netcoreapp2.2\d0684ffb-09ca-45bf-9b84-a0a80b611984
// command took 2.88s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\sverma\source\repos\PerformanceBenchmark\PerformanceBenchmark\bin\Release\netcoreapp2.2\d0684ffb-09ca-45bf-9b84-a0a80b611984
// command took 4.85s and exited with 0
// ***** Done, took 00:00:08 (8.16 sec)   *****
// Found 10 benchmarks:
//   ForEachVsFor.Foreach: Core(Runtime=Core) [N=10]
//   ForEachVsFor.ListInsertion: Core(Runtime=Core) [N=10]
//   ForEachVsFor.DictionaryInsertion: Core(Runtime=Core) [N=10]
//   ForEachVsFor.While: Core(Runtime=Core) [N=10]
//   ForEachVsFor.For: Core(Runtime=Core) [N=10]
//   ForEachVsFor.Foreach: Core(Runtime=Core) [N=100]
//   ForEachVsFor.ListInsertion: Core(Runtime=Core) [N=100]
//   ForEachVsFor.DictionaryInsertion: Core(Runtime=Core) [N=100]
//   ForEachVsFor.While: Core(Runtime=Core) [N=100]
//   ForEachVsFor.For: Core(Runtime=Core) [N=100]

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: ForEachVsFor.Foreach: Core(Runtime=Core) [N=10]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "d0684ffb-09ca-45bf-9b84-a0a80b611984.dll" --benchmarkName "PerformanceBenchmark.ForEachVsFor.Foreach(N: 10)" --job "Core" --benchmarkId 0 in C:\Users\sverma\source\repos\PerformanceBenchmark\PerformanceBenchmark\bin\Release\netcoreapp2.2\d0684ffb-09ca-45bf-9b84-a0a80b611984\bin\Release\netcoreapp2.2
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.6 (CoreCLR 4.6.27817.03, CoreFX 4.6.27818.02), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: Core(Runtime=Core)

OverheadJitting  1: 1 op, 390199.22 ns, 390.1992 us/op
WorkloadJitting  1: 1 op, 592227.60 ns, 592.2276 us/op

OverheadJitting  2: 16 op, 299395.85 ns, 18.7122 us/op
WorkloadJitting  2: 16 op, 336592.41 ns, 21.0370 us/op

WorkloadPilot    1: 16 op, 3282.05 ns, 205.1281 ns/op
WorkloadPilot    2: 32 op, 5470.08 ns, 170.9401 ns/op
WorkloadPilot    3: 64 op, 4011.39 ns, 62.6780 ns/op
WorkloadPilot    4: 128 op, 5105.41 ns, 39.8860 ns/op
WorkloadPilot    5: 256 op, 12763.53 ns, 49.8575 ns/op
WorkloadPilot    6: 512 op, 18233.61 ns, 35.6125 ns/op
WorkloadPilot    7: 1024 op, 83145.25 ns, 81.1965 ns/op
WorkloadPilot    8: 2048 op, 71840.42 ns, 35.0783 ns/op
WorkloadPilot    9: 4096 op, 184159.44 ns, 44.9608 ns/op
WorkloadPilot   10: 8192 op, 468603.73 ns, 57.2026 ns/op
WorkloadPilot   11: 16384 op, 663338.67 ns, 40.4870 ns/op
WorkloadPilot   12: 32768 op, 1363873.90 ns, 41.6221 ns/op
WorkloadPilot   13: 65536 op, 2365263.66 ns, 36.0911 ns/op
WorkloadPilot   14: 131072 op, 4676555.85 ns, 35.6793 ns/op
WorkloadPilot   15: 262144 op, 10030307.90 ns, 38.2626 ns/op
WorkloadPilot   16: 524288 op, 21997025.00 ns, 41.9560 ns/op
WorkloadPilot   17: 1048576 op, 42160113.69 ns, 40.2070 ns/op
WorkloadPilot   18: 2097152 op, 75626807.63 ns, 36.0617 ns/op
WorkloadPilot   19: 4194304 op, 166186940.43 ns, 39.6221 ns/op
WorkloadPilot   20: 8388608 op, 417267737.56 ns, 49.7422 ns/op
WorkloadPilot   21: 16777216 op, 806758031.63 ns, 48.0865 ns/op

OverheadWarmup   1: 16777216 op, 34505280.27 ns, 2.0567 ns/op
OverheadWarmup   2: 16777216 op, 33982340.39 ns, 2.0255 ns/op
OverheadWarmup   3: 16777216 op, 34037041.21 ns, 2.0288 ns/op
OverheadWarmup   4: 16777216 op, 34546488.23 ns, 2.0591 ns/op
OverheadWarmup   5: 16777216 op, 30893202.47 ns, 1.8414 ns/op
OverheadWarmup   6: 16777216 op, 30830843.53 ns, 1.8377 ns/op
OverheadWarmup   7: 16777216 op, 30286752.66 ns, 1.8052 ns/op
OverheadWarmup   8: 16777216 op, 30255390.86 ns, 1.8034 ns/op
OverheadWarmup   9: 16777216 op, 30134319.70 ns, 1.7961 ns/op
OverheadWarmup  10: 16777216 op, 30857464.60 ns, 1.8392 ns/op

OverheadActual   1: 16777216 op, 31242558.41 ns, 1.8622 ns/op
OverheadActual   2: 16777216 op, 29791163.19 ns, 1.7757 ns/op
OverheadActual   3: 16777216 op, 32770534.78 ns, 1.9533 ns/op
OverheadActual   4: 16777216 op, 30412929.23 ns, 1.8128 ns/op
OverheadActual   5: 16777216 op, 30789635.58 ns, 1.8352 ns/op
OverheadActual   6: 16777216 op, 33585941.74 ns, 2.0019 ns/op
OverheadActual   7: 16777216 op, 30909612.72 ns, 1.8424 ns/op
OverheadActual   8: 16777216 op, 31364723.58 ns, 1.8695 ns/op
OverheadActual   9: 16777216 op, 31294706.53 ns, 1.8653 ns/op
OverheadActual  10: 16777216 op, 29767824.17 ns, 1.7743 ns/op
OverheadActual  11: 16777216 op, 30071596.09 ns, 1.7924 ns/op
OverheadActual  12: 16777216 op, 31226148.16 ns, 1.8612 ns/op
OverheadActual  13: 16777216 op, 36479980.05 ns, 2.1744 ns/op
OverheadActual  14: 16777216 op, 31954398.48 ns, 1.9046 ns/op
OverheadActual  15: 16777216 op, 30452678.50 ns, 1.8151 ns/op

WorkloadWarmup   1: 16777216 op, 695906080.87 ns, 41.4792 ns/op
WorkloadWarmup   2: 16777216 op, 768340548.37 ns, 45.7967 ns/op
WorkloadWarmup   3: 16777216 op, 652687323.89 ns, 38.9032 ns/op
WorkloadWarmup   4: 16777216 op, 600996867.83 ns, 35.8222 ns/op
WorkloadWarmup   5: 16777216 op, 613784826.65 ns, 36.5844 ns/op
WorkloadWarmup   6: 16777216 op, 588415678.13 ns, 35.0723 ns/op

// BeforeActualRun
WorkloadActual   1: 16777216 op, 601245574.25 ns, 35.8370 ns/op
WorkloadActual   2: 16777216 op, 590747756.63 ns, 35.2113 ns/op
WorkloadActual   3: 16777216 op, 640364686.75 ns, 38.1687 ns/op
WorkloadActual   4: 16777216 op, 819946035.81 ns, 48.8726 ns/op
WorkloadActual   5: 16777216 op, 716913750.29 ns, 42.7314 ns/op
WorkloadActual   6: 16777216 op, 594476894.19 ns, 35.4336 ns/op
WorkloadActual   7: 16777216 op, 772781161.33 ns, 46.0613 ns/op
WorkloadActual   8: 16777216 op, 794887223.31 ns, 47.3790 ns/op
WorkloadActual   9: 16777216 op, 619472983.08 ns, 36.9235 ns/op
WorkloadActual  10: 16777216 op, 708944204.79 ns, 42.2564 ns/op
WorkloadActual  11: 16777216 op, 787935113.15 ns, 46.9646 ns/op
WorkloadActual  12: 16777216 op, 679066614.30 ns, 40.4755 ns/op
WorkloadActual  13: 16777216 op, 594667617.73 ns, 35.4450 ns/op
WorkloadActual  14: 16777216 op, 771685686.14 ns, 45.9961 ns/op
WorkloadActual  15: 16777216 op, 717833818.16 ns, 42.7862 ns/op
WorkloadActual  16: 16777216 op, 598251251.10 ns, 35.6586 ns/op
WorkloadActual  17: 16777216 op, 598641450.32 ns, 35.6818 ns/op
WorkloadActual  18: 16777216 op, 608607211.25 ns, 36.2758 ns/op
WorkloadActual  19: 16777216 op, 600399534.82 ns, 35.7866 ns/op
WorkloadActual  20: 16777216 op, 611709112.68 ns, 36.4607 ns/op
WorkloadActual  21: 16777216 op, 584984842.40 ns, 34.8678 ns/op
WorkloadActual  22: 16777216 op, 595419936.41 ns, 35.4898 ns/op
WorkloadActual  23: 16777216 op, 599702281.64 ns, 35.7450 ns/op
WorkloadActual  24: 16777216 op, 597273929.70 ns, 35.6003 ns/op
WorkloadActual  25: 16777216 op, 611364132.82 ns, 36.4401 ns/op
WorkloadActual  26: 16777216 op, 688185241.79 ns, 41.0190 ns/op
WorkloadActual  27: 16777216 op, 845260483.50 ns, 50.3815 ns/op
WorkloadActual  28: 16777216 op, 656601714.91 ns, 39.1365 ns/op
WorkloadActual  29: 16777216 op, 634936541.57 ns, 37.8452 ns/op
WorkloadActual  30: 16777216 op, 817476840.58 ns, 48.7254 ns/op
WorkloadActual  31: 16777216 op, 824869474.72 ns, 49.1661 ns/op
WorkloadActual  32: 16777216 op, 597497473.73 ns, 35.6136 ns/op
WorkloadActual  33: 16777216 op, 594891891.11 ns, 35.4583 ns/op
WorkloadActual  34: 16777216 op, 1035323969.28 ns, 61.7101 ns/op
WorkloadActual  35: 16777216 op, 887345474.73 ns, 52.8899 ns/op
WorkloadActual  36: 16777216 op, 597652459.40 ns, 35.6229 ns/op
WorkloadActual  37: 16777216 op, 734769558.19 ns, 43.7957 ns/op
WorkloadActual  38: 16777216 op, 703618532.49 ns, 41.9389 ns/op
WorkloadActual  39: 16777216 op, 653313465.99 ns, 38.9405 ns/op
WorkloadActual  40: 16777216 op, 598179410.68 ns, 35.6543 ns/op
WorkloadActual  41: 16777216 op, 754932646.87 ns, 44.9975 ns/op
WorkloadActual  42: 16777216 op, 725233381.07 ns, 43.2273 ns/op
WorkloadActual  43: 16777216 op, 602472696.08 ns, 35.9102 ns/op
WorkloadActual  44: 16777216 op, 586003371.76 ns, 34.9285 ns/op
WorkloadActual  45: 16777216 op, 591923824.36 ns, 35.2814 ns/op
WorkloadActual  46: 16777216 op, 666004786.69 ns, 39.6970 ns/op
WorkloadActual  47: 16777216 op, 582501789.63 ns, 34.7198 ns/op
WorkloadActual  48: 16777216 op, 608739951.91 ns, 36.2837 ns/op
WorkloadActual  49: 16777216 op, 782292905.41 ns, 46.6283 ns/op
WorkloadActual  50: 16777216 op, 771434062.35 ns, 45.9811 ns/op
WorkloadActual  51: 16777216 op, 593461282.21 ns, 35.3730 ns/op
WorkloadActual  52: 16777216 op, 694887916.19 ns, 41.4185 ns/op
WorkloadActual  53: 16777216 op, 762848950.24 ns, 45.4693 ns/op
WorkloadActual  54: 16777216 op, 791507806.35 ns, 47.1775 ns/op
WorkloadActual  55: 16777216 op, 583336888.89 ns, 34.7696 ns/op
WorkloadActual  56: 16777216 op, 598392743.90 ns, 35.6670 ns/op
WorkloadActual  57: 16777216 op, 587522231.33 ns, 35.0191 ns/op
WorkloadActual  58: 16777216 op, 599102031.26 ns, 35.7093 ns/op
WorkloadActual  59: 16777216 op, 592243277.18 ns, 35.3005 ns/op
WorkloadActual  60: 16777216 op, 579721529.04 ns, 34.5541 ns/op
WorkloadActual  61: 16777216 op, 597974464.93 ns, 35.6421 ns/op
WorkloadActual  62: 16777216 op, 600356868.18 ns, 35.7841 ns/op
WorkloadActual  63: 16777216 op, 597881838.20 ns, 35.6365 ns/op
WorkloadActual  64: 16777216 op, 605710984.91 ns, 36.1032 ns/op
WorkloadActual  65: 16777216 op, 592064952.49 ns, 35.2898 ns/op
WorkloadActual  66: 16777216 op, 601199260.88 ns, 35.8343 ns/op
WorkloadActual  67: 16777216 op, 593722022.81 ns, 35.3886 ns/op
WorkloadActual  68: 16777216 op, 671533216.71 ns, 40.0265 ns/op
WorkloadActual  69: 16777216 op, 804261850.66 ns, 47.9377 ns/op
WorkloadActual  70: 16777216 op, 796809774.96 ns, 47.4936 ns/op
WorkloadActual  71: 16777216 op, 607660522.31 ns, 36.2194 ns/op
WorkloadActual  72: 16777216 op, 610345603.46 ns, 36.3794 ns/op
WorkloadActual  73: 16777216 op, 713548555.55 ns, 42.5308 ns/op
WorkloadActual  74: 16777216 op, 727945812.63 ns, 43.3890 ns/op
WorkloadActual  75: 16777216 op, 594381714.75 ns, 35.4279 ns/op
WorkloadActual  76: 16777216 op, 712239017.81 ns, 42.4528 ns/op
WorkloadActual  77: 16777216 op, 793058392.40 ns, 47.2700 ns/op
WorkloadActual  78: 16777216 op, 613972997.48 ns, 36.5956 ns/op
WorkloadActual  79: 16777216 op, 608442744.10 ns, 36.2660 ns/op
WorkloadActual  80: 16777216 op, 635758877.31 ns, 37.8942 ns/op
