// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 6 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\sverma\source\repos\PerformanceBenchmark\PerformanceBenchmark\bin\Release\netcoreapp2.2\8f6beba7-3f9d-4eca-9d6d-50e8bc324e1b
// command took 3.08s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\sverma\source\repos\PerformanceBenchmark\PerformanceBenchmark\bin\Release\netcoreapp2.2\8f6beba7-3f9d-4eca-9d6d-50e8bc324e1b
// command took 4.48s and exited with 0
// ***** Done, took 00:00:08 (8.13 sec)   *****
// Found 6 benchmarks:
//   ForEachVsFor.StringBuilder: Core(Runtime=Core) [N=10]
//   ForEachVsFor.String: Core(Runtime=Core) [N=10]
//   ForEachVsFor.StringBuilder: Core(Runtime=Core) [N=100]
//   ForEachVsFor.String: Core(Runtime=Core) [N=100]
//   ForEachVsFor.StringBuilder: Core(Runtime=Core) [N=1000]
//   ForEachVsFor.String: Core(Runtime=Core) [N=1000]

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: ForEachVsFor.StringBuilder: Core(Runtime=Core) [N=10]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "8f6beba7-3f9d-4eca-9d6d-50e8bc324e1b.dll" --benchmarkName "PerformanceBenchmark.ForEachVsFor.StringBuilder(N: 10)" --job "Core" --benchmarkId 0 in C:\Users\sverma\source\repos\PerformanceBenchmark\PerformanceBenchmark\bin\Release\netcoreapp2.2\8f6beba7-3f9d-4eca-9d6d-50e8bc324e1b\bin\Release\netcoreapp2.2
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.6 (CoreCLR 4.6.27817.03, CoreFX 4.6.27818.02), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: Core(Runtime=Core)

OverheadJitting  1: 1 op, 371600.94 ns, 371.6009 us/op
WorkloadJitting  1: 1 op, 1002848.45 ns, 1.0028 ms/op

OverheadJitting  2: 16 op, 505070.95 ns, 31.5669 us/op
WorkloadJitting  2: 16 op, 480273.24 ns, 30.0171 us/op

WorkloadPilot    1: 16 op, 6564.10 ns, 410.2562 ns/op
WorkloadPilot    2: 32 op, 5470.08 ns, 170.9401 ns/op
WorkloadPilot    3: 64 op, 10210.82 ns, 159.5441 ns/op
WorkloadPilot    4: 128 op, 10940.16 ns, 85.4700 ns/op
WorkloadPilot    5: 256 op, 41207.95 ns, 160.9686 ns/op
WorkloadPilot    6: 512 op, 103566.89 ns, 202.2791 ns/op
WorkloadPilot    7: 1024 op, 130187.96 ns, 127.1367 ns/op
WorkloadPilot    8: 2048 op, 255635.19 ns, 124.8219 ns/op
WorkloadPilot    9: 4096 op, 505800.29 ns, 123.4864 ns/op
WorkloadPilot   10: 8192 op, 1081252.97 ns, 131.9889 ns/op
WorkloadPilot   11: 16384 op, 3122687.75 ns, 190.5937 ns/op
WorkloadPilot   12: 32768 op, 4489114.35 ns, 136.9969 ns/op
WorkloadPilot   13: 65536 op, 7958605.33 ns, 121.4387 ns/op
WorkloadPilot   14: 131072 op, 13575650.69 ns, 103.5740 ns/op
WorkloadPilot   15: 262144 op, 24716385.34 ns, 94.2855 ns/op
WorkloadPilot   16: 524288 op, 43428443.48 ns, 82.8332 ns/op
WorkloadPilot   17: 1048576 op, 105198802.85 ns, 100.3254 ns/op
WorkloadPilot   18: 2097152 op, 158841349.01 ns, 75.7415 ns/op
WorkloadPilot   19: 4194304 op, 238145875.43 ns, 56.7784 ns/op
WorkloadPilot   20: 8388608 op, 495332378.62 ns, 59.0482 ns/op
WorkloadPilot   21: 16777216 op, 1356623121.16 ns, 80.8610 ns/op

OverheadWarmup   1: 16777216 op, 34895844.16 ns, 2.0800 ns/op
OverheadWarmup   2: 16777216 op, 33480916.16 ns, 1.9956 ns/op
OverheadWarmup   3: 16777216 op, 34543570.85 ns, 2.0590 ns/op
OverheadWarmup   4: 16777216 op, 32835081.75 ns, 1.9571 ns/op
OverheadWarmup   5: 16777216 op, 34109975.64 ns, 2.0331 ns/op
OverheadWarmup   6: 16777216 op, 31259698.00 ns, 1.8632 ns/op

OverheadActual   1: 16777216 op, 30792552.96 ns, 1.8354 ns/op
OverheadActual   2: 16777216 op, 30192667.25 ns, 1.7996 ns/op
OverheadActual   3: 16777216 op, 29486297.26 ns, 1.7575 ns/op
OverheadActual   4: 16777216 op, 31703139.35 ns, 1.8897 ns/op
OverheadActual   5: 16777216 op, 30677681.22 ns, 1.8285 ns/op
OverheadActual   6: 16777216 op, 31021567.08 ns, 1.8490 ns/op
OverheadActual   7: 16777216 op, 30834854.93 ns, 1.8379 ns/op
OverheadActual   8: 16777216 op, 29865556.31 ns, 1.7801 ns/op
OverheadActual   9: 16777216 op, 32522557.71 ns, 1.9385 ns/op
OverheadActual  10: 16777216 op, 33557132.64 ns, 2.0002 ns/op
OverheadActual  11: 16777216 op, 30190843.88 ns, 1.7995 ns/op
OverheadActual  12: 16777216 op, 30024188.70 ns, 1.7896 ns/op
OverheadActual  13: 16777216 op, 29822525.00 ns, 1.7776 ns/op
OverheadActual  14: 16777216 op, 31465373.10 ns, 1.8755 ns/op
OverheadActual  15: 16777216 op, 31442034.08 ns, 1.8741 ns/op

WorkloadWarmup   1: 16777216 op, 989253475.96 ns, 58.9641 ns/op
WorkloadWarmup   2: 16777216 op, 980399600.47 ns, 58.4364 ns/op
WorkloadWarmup   3: 16777216 op, 975662509.04 ns, 58.1540 ns/op
WorkloadWarmup   4: 16777216 op, 977762291.37 ns, 58.2792 ns/op
WorkloadWarmup   5: 16777216 op, 981061845.12 ns, 58.4758 ns/op
WorkloadWarmup   6: 16777216 op, 973435820.80 ns, 58.0213 ns/op
WorkloadWarmup   7: 16777216 op, 979513811.78 ns, 58.3836 ns/op
WorkloadWarmup   8: 16777216 op, 976513653.87 ns, 58.2047 ns/op

// BeforeActualRun
WorkloadActual   1: 16777216 op, 1372092879.08 ns, 81.7831 ns/op
WorkloadActual   2: 16777216 op, 964374446.84 ns, 57.4812 ns/op
WorkloadActual   3: 16777216 op, 1485901956.43 ns, 88.5667 ns/op
WorkloadActual   4: 16777216 op, 963191450.33 ns, 57.4107 ns/op
WorkloadActual   5: 16777216 op, 965787551.48 ns, 57.5654 ns/op
WorkloadActual   6: 16777216 op, 965359061.68 ns, 57.5399 ns/op
WorkloadActual   7: 16777216 op, 972489861.20 ns, 57.9649 ns/op
WorkloadActual   8: 16777216 op, 1113390798.37 ns, 66.3633 ns/op
WorkloadActual   9: 16777216 op, 1154833601.91 ns, 68.8334 ns/op
WorkloadActual  10: 16777216 op, 1035686088.74 ns, 61.7317 ns/op
WorkloadActual  11: 16777216 op, 1256128224.57 ns, 74.8711 ns/op
WorkloadActual  12: 16777216 op, 1053237030.71 ns, 62.7778 ns/op
WorkloadActual  13: 16777216 op, 1288932309.19 ns, 76.8264 ns/op
WorkloadActual  14: 16777216 op, 958670974.17 ns, 57.1412 ns/op
WorkloadActual  15: 16777216 op, 1187711350.31 ns, 70.7931 ns/op
WorkloadActual  16: 16777216 op, 971246329.12 ns, 57.8908 ns/op
WorkloadActual  17: 16777216 op, 966076371.83 ns, 57.5826 ns/op
WorkloadActual  18: 16777216 op, 961513593.70 ns, 57.3107 ns/op
WorkloadActual  19: 16777216 op, 975422554.75 ns, 58.1397 ns/op
WorkloadActual  20: 16777216 op, 949463002.00 ns, 56.5924 ns/op
WorkloadActual  21: 16777216 op, 964781056.30 ns, 57.5054 ns/op
WorkloadActual  22: 16777216 op, 983038732.92 ns, 58.5937 ns/op
WorkloadActual  23: 16777216 op, 955490303.55 ns, 56.9517 ns/op
WorkloadActual  24: 16777216 op, 970791947.60 ns, 57.8637 ns/op
WorkloadActual  25: 16777216 op, 969229327.37 ns, 57.7706 ns/op
WorkloadActual  26: 16777216 op, 1272789731.12 ns, 75.8642 ns/op
WorkloadActual  27: 16777216 op, 1023957502.56 ns, 61.0326 ns/op
WorkloadActual  28: 16777216 op, 1201117793.12 ns, 71.5922 ns/op
WorkloadActual  29: 16777216 op, 1011386159.01 ns, 60.2833 ns/op
WorkloadActual  30: 16777216 op, 1195796861.56 ns, 71.2750 ns/op
WorkloadActual  31: 16777216 op, 1061096445.21 ns, 63.2463 ns/op
WorkloadActual  32: 16777216 op, 971291183.80 ns, 57.8935 ns/op
WorkloadActual  33: 16777216 op, 967279060.63 ns, 57.6543 ns/op
WorkloadActual  34: 16777216 op, 953697210.51 ns, 56.8448 ns/op
WorkloadActual  35: 16777216 op, 978743624.16 ns, 58.3377 ns/op
WorkloadActual  36: 16777216 op, 984933204.82 ns, 58.7066 ns/op
WorkloadActual  37: 16777216 op, 951416915.46 ns, 56.7089 ns/op
WorkloadActual  38: 16777216 op, 1242619673.55 ns, 74.0659 ns/op
WorkloadActual  39: 16777216 op, 1042580216.02 ns, 62.1426 ns/op
WorkloadActual  40: 16777216 op, 1308668731.44 ns, 78.0027 ns/op
WorkloadActual  41: 16777216 op, 1120338897.14 ns, 66.7774 ns/op
WorkloadActual  42: 16777216 op, 1318752646.15 ns, 78.6038 ns/op
WorkloadActual  43: 16777216 op, 1123241322.90 ns, 66.9504 ns/op
WorkloadActual  44: 16777216 op, 1037125814.45 ns, 61.8175 ns/op
WorkloadActual  45: 16777216 op, 942926618.11 ns, 56.2028 ns/op
WorkloadActual  46: 16777216 op, 974583079.43 ns, 58.0897 ns/op
WorkloadActual  47: 16777216 op, 963990447.05 ns, 57.4583 ns/op
WorkloadActual  48: 16777216 op, 1158817645.32 ns, 69.0709 ns/op
WorkloadActual  49: 16777216 op, 1134826592.92 ns, 67.6409 ns/op
WorkloadActual  50: 16777216 op, 1110579905.32 ns, 66.1957 ns/op
WorkloadActual  51: 16777216 op, 1121392435.02 ns, 66.8402 ns/op
WorkloadActual  52: 16777216 op, 969520335.76 ns, 57.7879 ns/op
WorkloadActual  53: 16777216 op, 1094587936.86 ns, 65.2425 ns/op
WorkloadActual  54: 16777216 op, 1260942261.82 ns, 75.1580 ns/op
WorkloadActual  55: 16777216 op, 1008254719.13 ns, 60.0967 ns/op
WorkloadActual  56: 16777216 op, 1216873089.35 ns, 72.5313 ns/op
WorkloadActual  57: 16777216 op, 1029526775.87 ns, 61.3646 ns/op
WorkloadActual  58: 16777216 op, 1399204795.88 ns, 83.3991 ns/op
WorkloadActual  59: 16777216 op, 997068035.79 ns, 59.4299 ns/op
WorkloadActual  60: 16777216 op, 958010917.56 ns, 57.1019 ns/op
WorkloadActual  61: 16777216 op, 956786713.10 ns, 57.0289 ns/op
WorkloadActual  62: 16777216 op, 969294603.69 ns, 57.7745 ns/op
WorkloadActual  63: 16777216 op, 951408892.68 ns, 56.7084 ns/op
WorkloadActual  64: 16777216 op, 990133794.57 ns, 59.0166 ns/op
WorkloadActual  65: 16777216 op, 1253987963.63 ns, 74.7435 ns/op
WorkloadActual  66: 16777216 op, 979832899.92 ns, 58.4026 ns/op
WorkloadActual  67: 16777216 op, 1628069035.36 ns, 97.0405 ns/op
WorkloadActual  68: 16777216 op, 970452437.82 ns, 57.8435 ns/op
WorkloadActual  69: 16777216 op, 1283274785.22 ns, 76.4891 ns/op
WorkloadActual  70: 16777216 op, 1010272814.89 ns, 60.2170 ns/op
WorkloadActual  71: 16777216 op, 955551933.15 ns, 56.9553 ns/op
WorkloadActual  72: 16777216 op, 964199039.53 ns, 57.4707 ns/op
WorkloadActual  73: 16777216 op, 969540028.06 ns, 57.7891 ns/op
WorkloadActual  74: 16777216 op, 948914535.07 ns, 56.5597 ns/op
WorkloadActual  75: 16777216 op, 958013470.26 ns, 57.1021 ns/op
WorkloadActual  76: 16777216 op, 979053960.18 ns, 58.3562 ns/op
WorkloadActual  77: 16777216 op, 966055950.19 ns, 57.5814 ns/op
WorkloadActual  78: 16777216 op, 948293133.70 ns, 56.5227 ns/op
WorkloadActual  79: 16777216 op, 975218338.34 ns, 58.1275 ns/op
WorkloadActual  80: 16777216 op, 963359928.87 ns, 57.4207 ns/op
WorkloadActual  81: 16777216 op, 955068377.85 ns, 56.9265 ns/op
WorkloadActual  82: 16777216 op, 984004020.15 ns, 58.6512 ns/op
WorkloadActual  83: 16777216 op, 1048095517.85 ns, 62.4714 ns/op
WorkloadActual  84: 16777216 op, 954010463.90 ns, 56.8635 ns/op
WorkloadActual  85: 16777216 op, 970771161.29 ns, 57.8625 ns/op
WorkloadActual  86: 16777216 op, 1424135973.12 ns, 84.8851 ns/op
WorkloadActual  87: 16777216 op, 975844480.45 ns, 58.1649 ns/op
WorkloadActual  88: 16777216 op, 1249629401.91 ns, 74.4837 ns/op
WorkloadActual  89: 16777216 op, 1033337600.00 ns, 61.5917 ns/op
WorkloadActual  90: 16777216 op, 1277645705.68 ns, 76.1536 ns/op
WorkloadActual  91: 16777216 op, 1027658560.37 ns, 61.2532 ns/op
WorkloadActual  92: 16777216 op, 968270239.58 ns, 57.7134 ns/op
WorkloadActual  93: 16777216 op, 965053466.41 ns, 57.5217 ns/op
WorkloadActual  94: 16777216 op, 972391399.72 ns, 57.9590 ns/op
WorkloadActual  95: 16777216 op, 949706603.01 ns, 56.6069 ns/op
WorkloadActual  96: 16777216 op, 1107200123.70 ns, 65.9943 ns/op
WorkloadActual  97: 16777216 op, 1333342450.14 ns, 79.4734 ns/op
WorkloadActual  98: 16777216 op, 1164960547.94 ns, 69.4371 ns/op
WorkloadActual  99: 16777216 op, 1223196504.69 ns, 72.9082 ns/op
WorkloadActual  100: 16777216 op, 1077046476.37 ns, 64.1970 ns/op

// AfterActualRun
WorkloadResult   1: 16777216 op, 1341300326.13 ns, 79.9477 ns/op
WorkloadResult   2: 16777216 op, 933581893.88 ns, 55.6458 ns/op
WorkloadResult   3: 16777216 op, 932398897.38 ns, 55.5753 ns/op
WorkloadResult   4: 16777216 op, 934994998.52 ns, 55.7300 ns/op
WorkloadResult   5: 16777216 op, 934566508.73 ns, 55.7045 ns/op
WorkloadResult   6: 16777216 op, 941697308.25 ns, 56.1295 ns/op
WorkloadResult   7: 16777216 op, 1082598245.42 ns, 64.5279 ns/op
WorkloadResult   8: 16777216 op, 1124041048.96 ns, 66.9981 ns/op
WorkloadResult   9: 16777216 op, 1004893535.78 ns, 59.8963 ns/op
WorkloadResult  10: 16777216 op, 1225335671.61 ns, 73.0357 ns/op
WorkloadResult  11: 16777216 op, 1022444477.75 ns, 60.9424 ns/op
WorkloadResult  12: 16777216 op, 1258139756.23 ns, 74.9910 ns/op
WorkloadResult  13: 16777216 op, 927878421.22 ns, 55.3059 ns/op
WorkloadResult  14: 16777216 op, 1156918797.35 ns, 68.9577 ns/op
WorkloadResult  15: 16777216 op, 940453776.16 ns, 56.0554 ns/op
WorkloadResult  16: 16777216 op, 935283818.88 ns, 55.7473 ns/op
WorkloadResult  17: 16777216 op, 930721040.75 ns, 55.4753 ns/op
WorkloadResult  18: 16777216 op, 944630001.80 ns, 56.3043 ns/op
WorkloadResult  19: 16777216 op, 918670449.05 ns, 54.7570 ns/op
WorkloadResult  20: 16777216 op, 933988503.35 ns, 55.6701 ns/op
WorkloadResult  21: 16777216 op, 952246179.97 ns, 56.7583 ns/op
WorkloadResult  22: 16777216 op, 924697750.59 ns, 55.1163 ns/op
WorkloadResult  23: 16777216 op, 939999394.64 ns, 56.0283 ns/op
WorkloadResult  24: 16777216 op, 938436774.42 ns, 55.9352 ns/op
WorkloadResult  25: 16777216 op, 1241997178.17 ns, 74.0288 ns/op
WorkloadResult  26: 16777216 op, 993164949.61 ns, 59.1972 ns/op
WorkloadResult  27: 16777216 op, 1170325240.16 ns, 69.7568 ns/op
WorkloadResult  28: 16777216 op, 980593606.06 ns, 58.4479 ns/op
WorkloadResult  29: 16777216 op, 1165004308.60 ns, 69.4397 ns/op
WorkloadResult  30: 16777216 op, 1030303892.26 ns, 61.4109 ns/op
WorkloadResult  31: 16777216 op, 940498630.84 ns, 56.0581 ns/op
WorkloadResult  32: 16777216 op, 936486507.68 ns, 55.8189 ns/op
WorkloadResult  33: 16777216 op, 922904657.56 ns, 55.0094 ns/op
WorkloadResult  34: 16777216 op, 947951071.21 ns, 56.5023 ns/op
WorkloadResult  35: 16777216 op, 954140651.87 ns, 56.8712 ns/op
WorkloadResult  36: 16777216 op, 920624362.51 ns, 54.8735 ns/op
WorkloadResult  37: 16777216 op, 1211827120.60 ns, 72.2305 ns/op
WorkloadResult  38: 16777216 op, 1011787663.07 ns, 60.3072 ns/op
WorkloadResult  39: 16777216 op, 1277876178.48 ns, 76.1674 ns/op
WorkloadResult  40: 16777216 op, 1089546344.18 ns, 64.9420 ns/op
WorkloadResult  41: 16777216 op, 1287960093.20 ns, 76.7684 ns/op
WorkloadResult  42: 16777216 op, 1092448769.94 ns, 65.1150 ns/op
WorkloadResult  43: 16777216 op, 1006333261.49 ns, 59.9821 ns/op
WorkloadResult  44: 16777216 op, 912134065.16 ns, 54.3674 ns/op
WorkloadResult  45: 16777216 op, 943790526.47 ns, 56.2543 ns/op
WorkloadResult  46: 16777216 op, 933197894.09 ns, 55.6229 ns/op
WorkloadResult  47: 16777216 op, 1128025092.36 ns, 67.2355 ns/op
WorkloadResult  48: 16777216 op, 1104034039.96 ns, 65.8056 ns/op
WorkloadResult  49: 16777216 op, 1079787352.37 ns, 64.3603 ns/op
WorkloadResult  50: 16777216 op, 1090599882.07 ns, 65.0048 ns/op
WorkloadResult  51: 16777216 op, 938727782.80 ns, 55.9525 ns/op
WorkloadResult  52: 16777216 op, 1063795383.91 ns, 63.4071 ns/op
WorkloadResult  53: 16777216 op, 1230149708.86 ns, 73.3226 ns/op
WorkloadResult  54: 16777216 op, 977462166.17 ns, 58.2613 ns/op
WorkloadResult  55: 16777216 op, 1186080536.39 ns, 70.6959 ns/op
WorkloadResult  56: 16777216 op, 998734222.91 ns, 59.5292 ns/op
WorkloadResult  57: 16777216 op, 1368412242.92 ns, 81.5637 ns/op
WorkloadResult  58: 16777216 op, 966275482.84 ns, 57.5945 ns/op
WorkloadResult  59: 16777216 op, 927218364.60 ns, 55.2665 ns/op
WorkloadResult  60: 16777216 op, 925994160.14 ns, 55.1936 ns/op
WorkloadResult  61: 16777216 op, 938502050.73 ns, 55.9391 ns/op
WorkloadResult  62: 16777216 op, 920616339.72 ns, 54.8730 ns/op
WorkloadResult  63: 16777216 op, 959341241.61 ns, 57.1812 ns/op
WorkloadResult  64: 16777216 op, 1223195410.67 ns, 72.9081 ns/op
WorkloadResult  65: 16777216 op, 949040346.96 ns, 56.5672 ns/op
WorkloadResult  66: 16777216 op, 939659884.86 ns, 56.0081 ns/op
WorkloadResult  67: 16777216 op, 1252482232.26 ns, 74.6538 ns/op
WorkloadResult  68: 16777216 op, 979480261.94 ns, 58.3816 ns/op
WorkloadResult  69: 16777216 op, 924759380.19 ns, 55.1200 ns/op
